person_id,first_name,last_name,phone_num,email,address
1,Vince,Lam,(271) 984-3121,vincelam@gmail.com,2335 Canton Hwy #6
2,Arjan,Glover,(231) 804-5311,arjanglover@gmail.com,6 Arch St #9757
3,Cameron,Mansell,(850) 498-9465,cameronmansell@gmail.com,9547 Belmont Rd #21
4,Isadora,Bowes,(907) 663-6237,isadorabowes@gmail.com,73 Pittsford Victor Rd
5,Katharine,Wiley,(692) 522-2946,katharinewiley@gmail.com,447 Commercial St Se
6,Clark,Potter,(817) 753-6069,clarkpotter@gmail.com,47 Garfield Ave
7,Anderson,Stamp,(798) 470-5190,andersonstamp@gmail.com,3 Mill Rd
8,Rui,Huang,(389) 356-2975,ruihuang@gmail.com,136 W Grand Ave #3
9,Indi,Cisneros,(813) 438-4091,indicisneros@gmail.com,80 Maplewood Dr #34
10,Amelia,Oakley,(612) 386-3649,ameliaoakley@gmail.com,58 Hancock St
